CUST_ID,Cluster,Tags,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PRC_FULL_PAYMENT,客群名稱
C10001,1,"沉睡戶, 需喚醒, 低消費, 偏好分期, 低額度",40.900749,95.4,0.0,1000.0,0.0,沉睡戶
C10004,1,"沉睡戶, 需喚醒",1666.670542,1499.0,205.788017,7500.0,0.0,沉睡戶
C10005,1,"沉睡戶, 需喚醒, 低消費, 低額度",817.714335,16.0,0.0,1200.0,0.0,沉睡戶
C10009,1,"沉睡戶, 需喚醒",1014.926473,861.49,0.0,7000.0,0.0,沉睡戶
C10010,1,"沉睡戶, 需喚醒, 高額度",152.225975,1281.6,0.0,11000.0,0.0,沉睡戶
C10012,1,"沉睡戶, 需喚醒, 低額度",630.794744,1492.18,0.0,2000.0,0.0,沉睡戶
C10015,1,"沉睡戶, 需喚醒, 低消費",2772.772734,0.0,346.81139,3000.0,0.0,沉睡戶
C10017,1,"沉睡戶, 需喚醒, 低消費, 套現傾向",2072.074354,0.0,2784.274703,3000.0,0.0,沉睡戶
C10018,1,"沉睡戶, 需喚醒, 偏好分期, 低額度",41.089489,519.0,0.0,2500.0,0.25,沉睡戶
C10027,1,"沉睡戶, 需喚醒, 低消費, 低額度",1615.96724,102.0,244.840485,1700.0,0.0,沉睡戶
C10030,1,"沉睡戶, 需喚醒, 低消費, 偏好分期",22.06349,100.0,0.0,6900.0,0.0,沉睡戶
C10036,1,"沉睡戶, 需喚醒, 低消費, 低額度",1656.350781,0.0,99.264367,1800.0,0.0,沉睡戶
C10041,1,"沉睡戶, 需喚醒, 低消費, 套現傾向, 低額度",663.44781,0.0,3133.063934,1800.0,0.166667,沉睡戶
C10044,1,"沉睡戶, 需喚醒, 低消費, 循環利息戶",4104.710798,203.82,0.0,4500.0,0.0,沉睡戶
C10045,1,"沉睡戶, 需喚醒, 低消費, 套現傾向, 低額度",1360.742377,0.0,1481.587093,1500.0,0.0,沉睡戶
C10047,1,"沉睡戶, 需喚醒, 低消費, 偏好分期, 低額度",2242.311686,437.0,184.648692,2400.0,0.0,沉睡戶
C10048,1,"沉睡戶, 需喚醒, 低消費, 套現傾向, 偏好分期, 低額度",474.447149,109.74,1013.659552,1700.0,0.0,沉睡戶
C10051,1,"沉睡戶, 需喚醒",863.809833,507.5,695.097159,4000.0,0.083333,沉睡戶
C10054,1,"沉睡戶, 需喚醒, 低消費",1565.681099,0.0,321.359135,3500.0,0.0,沉睡戶
C10055,1,"沉睡戶, 需喚醒, 套現傾向",464.674156,1979.22,1981.265503,3000.0,0.2,沉睡戶
C10056,1,"沉睡戶, 需喚醒, 低消費, 偏好分期, 低額度",6.660517,310.0,0.0,1000.0,0.0,沉睡戶
C10057,1,"沉睡戶, 需喚醒",1311.995984,1283.9,0.0,6000.0,0.0,沉睡戶
C10058,1,"沉睡戶, 需喚醒, 低消費, 循環利息戶",3625.218146,313.27,668.468743,4000.0,0.0,沉睡戶
C10060,1,"沉睡戶, 需喚醒, 低消費, 循環利息戶",3971.138765,0.0,224.575517,4000.0,0.0,沉睡戶
C10062,1,"沉睡戶, 需喚醒, 低消費",1879.114033,113.0,0.0,6500.0,0.0,沉睡戶
C10063,1,"沉睡戶, 需喚醒, 低消費, 低額度",1555.793701,66.2,0.0,1600.0,0.0,沉睡戶
C10065,1,"沉睡戶, 需喚醒, 低額度",7.152356,840.0,0.0,1600.0,0.0,沉睡戶
C10068,1,"沉睡戶, 需喚醒, 低消費, 低額度",1758.059987,412.33,0.0,1800.0,0.0,沉睡戶
C10069,1,"沉睡戶, 需喚醒, 低消費, 低額度",809.847455,0.0,908.423608,1500.0,0.0,沉睡戶
C10070,1,"沉睡戶, 需喚醒, 低消費, 低額度",1576.305029,0.0,382.908547,2500.0,0.0,沉睡戶
C10072,1,"沉睡戶, 需喚醒, 低額度",1699.435486,1363.69,0.0,1700.0,0.0,沉睡戶
C10075,1,"沉睡戶, 需喚醒, 低消費, 套現傾向",656.01301,0.0,1474.349901,7000.0,0.25,沉睡戶
C10077,1,"沉睡戶, 需喚醒, 低額度",1808.972419,713.9,0.0,2250.0,0.0,沉睡戶
