CUST_ID,Cluster,Tags,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PRC_FULL_PAYMENT,客群名稱
C10003,3,"活躍小資, 成長潛力",2495.148862,773.17,0.0,7500.0,0.0,活躍小資
C10006,3,"活躍小資, 成長潛力, 偏好分期, 低額度",1809.828751,1333.28,0.0,1800.0,0.0,活躍小資
C10008,3,"活躍小資, 成長潛力, 低消費, 偏好分期, 低額度",1823.652743,436.2,0.0,2300.0,0.0,活躍小資
C10011,3,"活躍小資, 成長潛力, 偏好分期, 低額度",1293.124939,920.12,0.0,1200.0,0.0,活躍小資
C10013,3,"活躍小資, 成長潛力",1516.92862,3217.99,0.0,3000.0,0.25,活躍小資
C10014,3,"活躍小資, 成長潛力, 偏好分期",921.693369,2137.93,0.0,7500.0,0.083333,活躍小資
C10019,3,"活躍小資, 成長潛力, 偏好分期, 高額度",1989.072228,504.35,0.0,13000.0,0.0,活躍小資
C10020,3,"活躍小資, 成長潛力, 低消費, 循環利息戶, 偏好分期",3577.970933,398.64,0.0,4000.0,0.0,活躍小資
C10021,3,"活躍小資, 成長潛力, 低消費, 偏好分期, 低額度",2016.684686,176.68,0.0,2000.0,0.0,活躍小資
C10023,3,"活躍小資, 成長潛力, 偏好分期, 低額度",132.34224,815.9,0.0,1800.0,0.0,活躍小資
C10026,3,"活躍小資, 成長潛力, 低消費, 偏好分期",169.781679,399.6,0.0,3000.0,0.0,活躍小資
C10028,3,"活躍小資, 成長潛力, 低消費, 偏好分期, 低額度",125.694817,233.28,0.0,1000.0,0.0,活躍小資
C10032,3,"活躍小資, 成長潛力, 偏好分期",1162.273324,1347.71,175.815755,6000.0,0.0,活躍小資
C10034,3,"活躍小資, 成長潛力, 低額度",125.660453,636.79,0.0,1200.0,0.3,活躍小資
C10035,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期, 高額度",3517.101616,547.28,0.0,11000.0,0.0,活躍小資
C10038,3,"活躍小資, 成長潛力, 循環利息戶",4047.480828,2380.55,1697.660901,5000.0,0.0,活躍小資
C10043,3,"活躍小資, 成長潛力, 套現傾向",784.889762,1526.59,2188.419607,3000.0,0.111111,活躍小資
C10046,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期",5315.945594,1525.44,0.0,8500.0,0.0,活躍小資
C10050,3,"活躍小資, 成長潛力, 優質還款",229.867179,2390.6,0.0,3300.0,0.916667,活躍小資
C10053,3,"活躍小資, 成長潛力, 低額度",1078.888565,3107.85,0.0,2500.0,0.0,活躍小資
C10059,3,"活躍小資, 成長潛力, 高消費力, 大額單筆消費",2386.330629,5217.62,0.0,7500.0,0.083333,活躍小資
C10067,3,"活躍小資, 成長潛力, 偏好分期, 低額度",1923.886805,1887.64,1605.949371,1850.0,0.083333,活躍小資
C10071,3,"活躍小資, 成長潛力, 低消費, 循環利息戶",3990.523579,263.5,0.0,6000.0,0.083333,活躍小資
C10073,3,"活躍小資, 成長潛力, 低消費, 循環利息戶, 偏好分期",5487.683724,419.1,625.399386,6250.0,0.0,活躍小資
C10079,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期",5860.433624,561.87,0.0,6000.0,0.0,活躍小資
C10080,3,"活躍小資, 成長潛力, 高額度",1727.638449,606.11,0.0,11000.0,0.0,活躍小資
C10081,3,"活躍小資, 成長潛力, 低消費, 偏好分期, 低額度",578.809679,320.0,0.0,1500.0,0.0,活躍小資
C10084,3,"活躍小資, 成長潛力, 低消費, 偏好分期",17.357563,244.85,0.0,5000.0,0.181818,活躍小資
C10087,3,"活躍小資, 成長潛力, 低消費, 優質還款, 偏好分期, 低額度",42.46443,396.0,0.0,1200.0,1.0,活躍小資
C10088,3,"活躍小資, 成長潛力, 大額單筆消費",1935.362486,4915.6,293.844792,9000.0,0.0,活躍小資
C10089,3,"活躍小資, 成長潛力, 優質還款, 高額度",134.917202,1247.8,0.0,16500.0,1.0,活躍小資
C10101,3,"活躍小資, 成長潛力",1619.955708,739.44,0.0,6000.0,0.0,活躍小資
C10106,3,"活躍小資, 成長潛力, 偏好分期, 低額度",23.394411,1346.28,0.0,2000.0,0.0,活躍小資
C10107,3,"活躍小資, 成長潛力, 循環利息戶",3539.801912,2823.8,0.0,5700.0,0.083333,活躍小資
C10108,3,"活躍小資, 成長潛力, 低消費, 偏好分期",0.62424,389.96,0.0,4500.0,0.0,活躍小資
C10111,3,"活躍小資, 成長潛力, 偏好分期, 低額度",408.656365,941.64,0.0,2500.0,0.083333,活躍小資
C10113,3,"活躍小資, 成長潛力, 低消費, 偏好分期, 低額度",1246.624558,423.7,412.399058,2000.0,0.0,活躍小資
C10115,3,"活躍小資, 成長潛力, 偏好分期",156.216753,1354.86,0.0,5500.0,0.0,活躍小資
C10117,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期",5322.994094,2812.2,2510.352951,8500.0,0.0,活躍小資
C10119,3,"活躍小資, 成長潛力, 優質還款",175.341651,1508.9,0.0,5000.0,1.0,活躍小資
C10120,3,"活躍小資, 成長潛力",680.195157,1045.57,0.0,3000.0,0.0,活躍小資
C10121,3,"活躍小資, 成長潛力, 偏好分期",223.763616,2309.78,0.0,6500.0,0.333333,活躍小資
C10127,3,"活躍小資, 成長潛力, 高消費力, 偏好分期",2114.158683,5580.85,0.0,8500.0,0.0,活躍小資
C10133,3,"活躍小資, 成長潛力, 循環利息戶",4245.855092,1957.3,0.0,5000.0,0.0,活躍小資
C10137,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期",4637.848144,1271.12,0.0,5000.0,0.0,活躍小資
C10140,3,"活躍小資, 成長潛力, 低消費, 偏好分期",231.108995,440.0,0.0,4000.0,0.0,活躍小資
C10142,3,"活躍小資, 成長潛力, 高消費力, 偏好分期, 高額度",2494.868559,5491.79,0.0,17000.0,0.0,活躍小資
C10143,3,"活躍小資, 成長潛力, 低額度",706.132889,897.86,586.268966,1200.0,0.0,活躍小資
C10145,3,"活躍小資, 成長潛力, 低額度",2235.103331,720.6,723.308724,2500.0,0.0,活躍小資
C10152,3,"活躍小資, 成長潛力, 偏好分期",19.354559,689.7,0.0,10000.0,0.0,活躍小資
C10155,3,"活躍小資, 成長潛力, 偏好分期, 高額度",906.573724,1039.2,103.102091,13500.0,0.083333,活躍小資
C10157,3,"活躍小資, 成長潛力, 大額單筆消費",1523.911458,4075.37,0.0,6500.0,0.0,活躍小資
C10158,3,"活躍小資, 成長潛力, 優質還款, 偏好分期",49.206256,870.24,0.0,8000.0,1.0,活躍小資
C10160,3,"活躍小資, 成長潛力, 優質還款, 偏好分期",106.455975,2463.12,0.0,4000.0,0.636364,活躍小資
C10168,3,"活躍小資, 成長潛力, 偏好分期, 低額度",871.568977,648.22,0.0,1200.0,0.0,活躍小資
C10170,3,"活躍小資, 成長潛力, 低消費, 偏好分期, 低額度",114.593817,469.98,0.0,1000.0,0.5,活躍小資
C10172,3,"活躍小資, 成長潛力, 低消費, 偏好分期",823.103926,131.64,0.0,8000.0,0.0,活躍小資
C10173,3,"活躍小資, 成長潛力, 高消費力, 優質還款, 大額單筆消費, 高額度",595.677343,5078.14,1424.442602,15000.0,0.916667,活躍小資
C10174,3,"活躍小資, 成長潛力, 偏好分期, 低額度",1128.124563,924.6,0.0,1000.0,0.0,活躍小資
C10175,3,"活躍小資, 成長潛力",349.441102,1975.4,0.0,4000.0,0.0,活躍小資
C10182,3,"活躍小資, 成長潛力, 套現傾向, 低額度",1872.926275,766.61,1017.120578,2300.0,0.0,活躍小資
C10184,3,"活躍小資, 成長潛力, 優質還款, 偏好分期, 高額度",336.799916,3535.8,0.0,20000.0,1.0,活躍小資
C10186,3,"活躍小資, 成長潛力, 偏好分期, 低額度",903.29781,2697.48,0.0,2500.0,0.0,活躍小資
C10190,3,"活躍小資, 成長潛力",117.442684,653.73,0.0,10000.0,0.0,活躍小資
C10191,3,"活躍小資, 成長潛力, 偏好分期, 低額度",168.522709,2009.05,0.0,1200.0,0.142857,活躍小資
C10193,3,"活躍小資, 成長潛力, 偏好分期, 低額度",874.583247,516.54,0.0,900.0,0.0,活躍小資
C10200,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期, 高額度",5462.897068,1453.32,0.0,16500.0,0.0,活躍小資
C10202,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期, 高額度",5588.846272,3507.35,0.0,11500.0,0.0,活躍小資
C10203,3,"活躍小資, 成長潛力, 優質還款, 偏好分期",281.170378,3163.69,0.0,8000.0,0.888889,活躍小資
C10204,3,"活躍小資, 成長潛力, 優質還款, 高額度",130.251538,1343.19,0.0,15000.0,0.545455,活躍小資
C10209,3,"活躍小資, 成長潛力, 低消費, 優質還款, 偏好分期",24.527253,261.64,0.0,4000.0,0.818182,活躍小資
C10221,3,"活躍小資, 成長潛力, 低消費",768.004936,336.41,0.0,6000.0,0.0,活躍小資
C10224,3,"活躍小資, 成長潛力, 偏好分期, 低額度",1121.730896,878.52,197.648111,1500.0,0.0,活躍小資
C10228,3,"活躍小資, 成長潛力, 大額單筆消費",2422.311938,4490.69,188.783221,8500.0,0.0,活躍小資
C10230,3,"活躍小資, 成長潛力, 循環利息戶",3061.213971,1829.2,0.0,7000.0,0.0,活躍小資
C10232,3,"活躍小資, 成長潛力, 循環利息戶, 高額度",5431.622968,1824.16,0.0,14500.0,0.0,活躍小資
C10235,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期",4178.625215,1431.89,0.0,4000.0,0.0,活躍小資
C10236,3,"活躍小資, 成長潛力, 循環利息戶",3019.019487,2260.41,0.0,8500.0,0.0,活躍小資
C10239,3,"活躍小資, 成長潛力, 偏好分期, 低額度",1070.999446,990.7,0.0,1400.0,0.0,活躍小資
C10240,3,"活躍小資, 成長潛力, 偏好分期, 低額度",279.608696,3034.92,0.0,2900.0,0.083333,活躍小資
C10241,3,"活躍小資, 成長潛力, 套現傾向",1255.901821,1038.81,1092.634704,5700.0,0.0,活躍小資
C10243,3,"活躍小資, 成長潛力",2363.489077,2641.98,263.884743,3000.0,0.0,活躍小資
C10244,3,"活躍小資, 成長潛力, 循環利息戶",4014.388265,1189.52,0.0,8000.0,0.0,活躍小資
C10250,3,"活躍小資, 成長潛力, 優質還款",237.235398,2410.07,0.0,4000.0,1.0,活躍小資
C10253,3,"活躍小資, 成長潛力",2814.207626,3197.24,0.0,3000.0,0.0,活躍小資
C10255,3,"活躍小資, 成長潛力, 高額度",435.862142,1646.16,0.0,12000.0,0.0,活躍小資
C10256,3,"活躍小資, 成長潛力, 低消費, 偏好分期, 低額度",6.390383,79.66,0.0,1500.0,0.0,活躍小資
C10260,3,"活躍小資, 成長潛力, 偏好分期, 低額度",996.48222,675.96,0.0,1000.0,0.083333,活躍小資
C10262,3,"活躍小資, 成長潛力, 優質還款, 高額度",185.640313,1703.23,0.0,11500.0,1.0,活躍小資
C10267,3,"活躍小資, 成長潛力, 高額度",1049.496471,1322.67,774.260436,11000.0,0.0,活躍小資
C10269,3,"活躍小資, 成長潛力, 循環利息戶, 偏好分期, 高額度",5570.190127,1607.88,0.0,13500.0,0.0,活躍小資
C10272,3,"活躍小資, 成長潛力, 偏好分期",2903.781184,3014.23,103.610197,4500.0,0.0,活躍小資
