CUST_ID,Cluster,Tags,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PRC_FULL_PAYMENT,客群名稱
C10002,0,"風險變現族, 需監控, 低消費, 套現傾向",3202.467416,0.0,6442.945483,7000.0,0.222222,風險變現族
C10016,0,"風險變現族, 需監控, 套現傾向, 循環利息戶, 偏好分期",6886.213231,1611.7,2301.491267,8000.0,0.0,風險變現族
C10024,0,"風險變現族, 需監控, 套現傾向, 循環利息戶, 大額單筆消費",3800.151377,4248.35,7974.415626,9000.0,0.0,風險變現族
C10025,0,"風險變現族, 需監控, 低消費, 循環利息戶",5368.571219,0.0,798.949863,6000.0,0.0,風險變現族
C10029,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶, 高額度",7152.864372,387.05,2236.145259,10500.0,0.0,風險變現族
C10031,0,"風險變現族, 需監控, 套現傾向, 循環利息戶, 偏好分期, 高額度",12136.21996,3038.01,3183.583301,13000.0,0.0,風險變現族
C10033,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶, 高額度",6732.823064,324.95,1189.533753,10500.0,0.0,風險變現族
C10037,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶",7427.076941,0.0,8873.375046,9000.0,0.0,風險變現族
C10039,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶",6269.418144,204.0,2925.699862,9000.0,0.0,風險變現族
C10040,0,"風險變現族, 需監控, 套現傾向",1411.60223,963.24,6173.682877,7500.0,0.333333,風險變現族
C10049,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶",3910.111237,0.0,1980.873201,4200.0,0.0,風險變現族
C10052,0,"風險變現族, 需監控, 套現傾向, 循環利息戶, 高額度",4931.331857,901.42,8530.648614,12000.0,0.0,風險變現族
C10061,0,"風險變現族, 需監控, 低消費, 循環利息戶, 偏好分期",5493.90406,229.0,970.591332,6000.0,0.0,風險變現族
C10064,0,"風險變現族, 需監控, 低消費, 套現傾向",809.582978,0.0,3819.672466,4150.0,0.090909,風險變現族
C10074,0,"風險變現族, 需監控, 套現傾向, 偏好分期",2990.422186,4523.27,27296.48576,7000.0,0.454545,風險變現族
C10083,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶",6593.820644,388.66,4621.93458,7000.0,0.0,風險變現族
C10090,0,"風險變現族, 需監控, 套現傾向, 循環利息戶, 高額度",7069.950386,1603.78,5626.004046,11000.0,0.0,風險變現族
C10092,0,"風險變現族, 需監控, 套現傾向, 循環利息戶, 高額度",8181.251131,2258.01,5251.228934,13500.0,0.0,風險變現族
C10094,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶",6110.265264,0.0,2717.253917,6500.0,0.0,風險變現族
C10096,0,"風險變現族, 需監控, 套現傾向, 偏好分期",1977.00709,1032.04,4335.919227,4000.0,0.090909,風險變現族
C10112,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶",4986.400804,0.0,5439.467563,8000.0,0.0,風險變現族
C10114,0,"風險變現族, 需監控, 套現傾向, 循環利息戶",6644.201651,4478.75,7205.520805,9000.0,0.083333,風險變現族
C10118,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶",6458.56209,0.0,3360.228794,7000.0,0.0,風險變現族
C10130,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶, 高額度",14224.11541,0.0,4614.427403,19000.0,0.0,風險變現族
C10134,0,"風險變現族, 需監控, 低消費, 套現傾向, 循環利息戶, 高額度",11167.23403,150.64,8362.154254,17000.0,0.0,風險變現族
C10139,0,"風險變現族, 需監控, 套現傾向, 循環利息戶, 高額度",9354.06045,796.33,13748.47131,13000.0,0.083333,風險變現族
