CUST_ID,Cluster,Tags,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PRC_FULL_PAYMENT,客群名稱
C10007,2,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",627.260806,7091.01,0.0,13500.0,1.0,VIP大戶
C10022,2,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",6369.531318,6359.95,229.028245,11250.0,0.0,VIP大戶
C10095,2,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期",9381.255094,5100.07,370.737197,9000.0,0.0,VIP大戶
C10125,2,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",8504.876253,6724.26,1686.599777,17000.0,0.0,VIP大戶
C10131,2,"VIP, 高價值, 高消費力, 大額單筆消費, 低額度",2392.917738,12462.44,0.0,2800.0,0.0,VIP大戶
C10144,2,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",19043.13856,22009.92,0.0,18000.0,0.0,VIP大戶
C10150,2,"VIP, 高價值, 高消費力, 大額單筆消費",2163.678757,5779.36,0.0,6500.0,0.0,VIP大戶
C10159,2,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期, 高額度",13673.07961,9792.23,2444.445738,20000.0,0.0,VIP大戶
C10164,2,"VIP, 高價值, 高消費力, 大額單筆消費, 高額度",2765.748281,7283.31,0.0,11000.0,0.25,VIP大戶
C10177,2,"VIP, 高價值, 高消費力, 優質還款, 大額單筆消費, 高額度",975.942008,10221.35,1620.685551,10500.0,0.75,VIP大戶
C10180,2,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費, 高額度",11972.01104,5715.0,1626.351366,14000.0,0.0,VIP大戶
C10212,2,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費",4559.779234,10848.5,0.0,7500.0,0.0,VIP大戶
C10229,2,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費",9047.621884,11188.62,0.0,10000.0,0.0,VIP大戶
C10233,2,"VIP, 高價值, 高消費力, 循環利息戶, 大額單筆消費",6571.484039,9325.22,0.0,8500.0,0.0,VIP大戶
C10238,2,"VIP, 高價值, 高消費力, 偏好分期, 高額度",2723.369217,10410.49,0.0,19500.0,0.363636,VIP大戶
C10251,2,"VIP, 高價值, 高消費力, 大額單筆消費",1272.927288,5350.19,0.0,8000.0,0.166667,VIP大戶
C10258,2,"VIP, 高價值, 循環利息戶, 大額單筆消費, 高額度",7938.559134,3677.52,0.0,12500.0,0.0,VIP大戶
C10273,2,"VIP, 高價值, 高消費力, 大額單筆消費",2041.480046,7323.38,191.331735,3000.0,0.083333,VIP大戶
C10274,2,"VIP, 高價值, 高消費力, 循環利息戶, 偏好分期",7755.698607,8533.54,7540.30735,10000.0,0.0,VIP大戶
C10280,2,"VIP, 高價值, 高消費力, 大額單筆消費, 高額度",2554.525229,6186.77,1898.690655,10950.0,0.083333,VIP大戶
